gene_name	type	organism
FRMPD1	refseq	orycun2
TOMM5	refseq	orycun2
FBXO10	refseq	orycun2
POLR1E	refseq	orycun2
ZBTB5	refseq	orycun2
LOC108178965	refseq	orycun2
GRHPR	refseq	orycun2
ZCCHC7	refseq	orycun2
GALNT1.S	other	
PGANT5	other	
LOC663798	other	
PGANT2	other	
GLY-5	other	
GLY-6	other	
PGANT3	other	
GLY-3	other	
GLY-4	other	
LOC106058096	other	
PGANT1	other	
GLY-11	other	
EBLN3P	other	hg19
RPB12	other	
UQCRBP1	other	hg19
UQCRB	other	
UQCR-14L	other	
LOC100219261	other	
UQCRB.S	other	
PAX5	refseq	orycun2
5730488B01RIK	other	mm9
PAX5.L	other	
PAX-1	other	
SNORA62	other	hg19
PAX-5	other	
MELK	refseq	orycun2
LOC103350226	refseq	orycun2
RNF38	refseq	orycun2
LOC103348031	refseq	orycun2
GNE	refseq	orycun2
CLTA	refseq	orycun2
CCIN	refseq	orycun2
GLIPR2	refseq	orycun2
RECK	refseq	orycun2
LOC108175373	refseq	orycun2
LOC100353579	refseq	orycun2
LOC103348033	refseq	orycun2
LOC100341482	refseq	orycun2
LOC100341740	refseq	orycun2
SPAAR	other	hg19
LOC100354329	refseq	orycun2
LOC100342253	refseq	orycun2
TMEM8B	refseq	orycun2
FAM221B	refseq	orycun2
HINT2	refseq	orycun2
SPAG8	refseq	orycun2
NPR2	refseq	orycun2
MSMP	refseq	orycun2
RGP1	refseq	orycun2
GBA2	refseq	orycun2
CREB3	refseq	orycun2
TLN1	refseq	orycun2
LOC108175942	refseq	orycun2
TPM2	refseq	orycun2
CA9	refseq	orycun2
ARHGEF39	refseq	orycun2
CCDC107	refseq	orycun2
SIT1	refseq	orycun2
LOC101926948	other	hg19
CD72	refseq	orycun2
TESK1	refseq	orycun2
FAM166B	refseq	orycun2
RUSC2	refseq	orycun2
LOC100345551	refseq	orycun2
UNC13B	refseq	orycun2
JPT2	other	mm9
JPT2	other	
JPT2	other	hg19
1700049L16RIK	other	mm9
RGD1559903	other	
AY358078	other	mm9
FAM214B	refseq	orycun2
STOML2	refseq	orycun2
PIGO	refseq	orycun2
FANCG	refseq	orycun2
VCP	refseq	orycun2
C1H9orf131	refseq	orycun2
DNAJB5	refseq	orycun2
PHF24	refseq	orycun2
FAM205C	refseq	orycun2
LOC100347365	refseq	orycun2
FAM205BP	other	hg19
LOC103351672	refseq	orycun2
LOC100347619	refseq	orycun2
CCL21	refseq	orycun2
CCL19	refseq	orycun2
LOC103351777	refseq	orycun2
GM21104	other	
CCL19-PS2	other	
LOC108176349	refseq	orycun2
CCL27A	other	mm9
CCL27	refseq	orycun2
IL11RA	refseq	orycun2
IL11RA1	other	mm9
GALT	refseq	orycun2
SIGMAR1	refseq	orycun2
ARID3C	refseq	orycun2
DCTN3	refseq	orycun2
RPP25L	refseq	orycun2
GM13305	other	mm9
GM2002	other	mm9
IL11RA2	other	mm9
CNTFR-AS1	other	hg19
CNTFR	refseq	orycun2
ENHO	refseq	orycun2
DNAI1	refseq	orycun2
FAM219A	refseq	orycun2
C1H9orf24	refseq	orycun2
KIAA1161	refseq	orycun2
MYORG	other	
NUDT2	refseq	orycun2
KIF24	refseq	orycun2
SERF1	other	mm9
SERF1B	other	hg19
LOC100190474	other	
UBAP1	refseq	orycun2
ATP5MC1	other	
ATP5MC1	other	hg19
GM46891	other	
DCAF12	refseq	orycun2
UBAP2	refseq	orycun2
UBAP2.L	other	
UBE2R2	refseq	orycun2
NOL6	refseq	orycun2
AQP3	refseq	orycun2
AQP7	refseq	orycun2
AQP7P1	other	hg19
NFX1	refseq	orycun2
RPS9	other	hg19
RPS9	other	
RPS9.S	other	
RPS9	other	mm9
RPS-9	other	
RPS9L1	other	
LOC106102519	other	
LOC106114437	other	
LOC105384032	other	
ASRNA:CR45874	other	
CBR3-AS1	other	hg19
CHMP5	refseq	orycun2
BAG1	refseq	orycun2
SPINK4	refseq	orycun2
B4GALT1	refseq	orycun2
LOC103345142	refseq	orycun2
LOC100190621	other	
RPB-9	other	
RPII15	other	
LOC100160205	other	
NRPB9B	other	
LOC100305979	other	
NRPB9A	other	
LOC100284267	other	
SMU1	refseq	orycun2
DNAJA1	refseq	orycun2
APTX	refseq	orycun2
LOC100289495	other	hg19
UBE2CP5	other	hg19
TMEM215	refseq	orycun2
FAM133DP	other	hg19
FAM133CP	other	hg19
NDUFB6	refseq	orycun2
TOPORS	refseq	orycun2
DDX58	refseq	orycun2
ACO1	refseq	orycun2
LOC100281040	other	
LOC100304277	other	
ACO3	other	
LOC100304315	other	
LOC100216599	other	
CUL4	other	
CUL4BY	other	
RPL32L	other	mm9
HNRPM	other	
MYEF2.L	other	
RFPL4B	other	hg19
HMGN2	other	
SAT1.L	other	
SETSIP	other	hg19
SETA	other	
SET.S	other	
SET.L	other	
LOC100809531	other	
LOC102585233	other	
TEKT4P2	other	hg19
LOC102551365	other	
EEF2	other	
EEF2	other	hg19
EEF2.1	other	
EEF2.1.L	other	
EEF2.2	other	
EEF2	other	mm9
ARG2.L	other	
LOC106128549	other	
LOC100159571	other	
LOC106109198	other	
MIR873	other	
MIR873B	other	mm9
MIR873	other	hg19
MIR873A	other	mm9
MIR876	other	
MIR876	other	hg19
MIR876	other	mm9
ZNF664	other	
CG16824	other	
LINGO2	refseq	orycun2
YAE1	other	hg19
C1H9orf72	refseq	orycun2
COA6	other	
COA6	other	hg19
MOB3B	refseq	orycun2
IFNK	refseq	orycun2
MOB3C.S	other	
LOC108176398	refseq	orycun2
EQTN	refseq	orycun2
LOC103345755	refseq	orycun2
LINC00032	other	hg19
TEK	refseq	orycun2
DKFZP469L125	other	
IFT74	refseq	orycun2
LRRC19	refseq	orycun2
PLAA	refseq	orycun2
PLAP	other	
CAAP1	refseq	orycun2
LOC100350215	refseq	orycun2
EMB2296	other	
LOC105388328	other	
RPL802	other	
RPL803	other	
RPL801	other	
RPL-2	other	
AT3G51190	other	
F23E13.20	other	
RPL2	other	
LOC107816448	other	
LOC107431740	other	
LOC100191681	other	
LOC106108043	other	
LOC106117200	other	
RL2	other	
MIR8831	other	
RPL35AL1	other	
RPL35A.S	other	
LOC100190127	other	
R35A	other	
LOC104647572	other	
LOC100214200	other	
LOC100506422	other	hg19
DYNLRB1.L	other	
ROBL	other	
LOC100162914	other	
DYRB-1	other	
LINC01241	other	hg19
LOC103971155	other	
TUSC1	refseq	orycun2
SLC2A14	other	hg19
SLC2A3	other	hg19
SLC2A3	other	
LOC103346236	refseq	orycun2
LOC103346257	refseq	orycun2
IZUMO3	refseq	orycun2
FNE	other	
ACTG1P25	other	hg19
ACTG1P4	other	hg19
ACTG1	other	hg19
ACTG1	other	
LOC103180009	other	
PRDX6.L	other	
PRDX6.S	other	
LOC100533273	other	
LOC106451802	other	
PRDX6-LIKE	other	
PRX1	other	
LOC106360598	other	
CG12896	other	
PRX2540-1	other	
PRX2540-2	other	
AGOS_ACL197W	other	
AGOS_AGR368W	other	
TMEM14B	other	hg19
TMEM14B	other	
TMEM14C.L	other	
LOC108178520	refseq	orycun2
LOC108178521	refseq	orycun2
MIR6402	other	mm9
ELAVL2	refseq	orycun2
ELAVL3	other	
LOC101929563	other	hg19
DMRTA1	refseq	orycun2
SNX1B	other	
SNX1A	other	
CDKN2A	other	
CDKN2B-AS1	other	hg19
LOC103348072	refseq	orycun2
MAF1	other	
MAF1	other	mm9
MAF1	other	hg19
LIN28C	other	
CDKN2B	refseq	orycun2
CDKN2A	other	hg19
P14ARF	other	
LOC101701430	other	
LOC100340625	refseq	orycun2
MTAP	refseq	orycun2
LOC100788996	other	
LOC103649148	other	
GM49890	other	mm9
MIR3554	other	
MIR31	other	mm9
MIR31	other	
MIR31A	other	
MIR31	other	hg19
BET1.S	other	
BET1.L	other	
CYCS	other	
IFNE	refseq	orycun2
LOC100353137	refseq	orycun2
LOC100353390	refseq	orycun2
IFNT5	other	
TP-1	other	
TP-1P8	other	
IFNT2	other	
IFNW1	other	hg19
LOC100353640	refseq	orycun2
IFN-OMEGA-7	other	
IFNT6	other	
LOC100353888	refseq	orycun2
RPL1502	other	
LOC100354397	refseq	orycun2
LOC100354654	refseq	orycun2
IFND1	other	
IFN-DELTA-7	other	
LOC108176426	refseq	orycun2
KLHL9	refseq	orycun2
TPM4B	other	
LOC100354910	refseq	orycun2
LOC100355669	refseq	orycun2
LOC100355421	refseq	orycun2
IFNA2	other	hg19
LOC100355912	refseq	orycun2
IFNA2	other	mm9
IFNA1	other	mm9
IFNA14	other	
IFNA6	other	
IFNA9	other	
IFNA5	other	
IFNA12	other	
IFNA11	other	
IFNA8	other	
IFNA3	other	
IFNA10	other	
IFNA13	other	
IFNA1	other	
IFNA2	other	
IFNA7	other	
IFNA12	other	mm9
IFN-OMEGA-2	other	
IFNA4	other	mm9
IFNAC	other	
IFNA21	other	hg19
IFNA7	other	hg19
IFNA5	other	hg19
IFNA4	other	hg19
IFNA10	other	hg19
IFNA16	other	hg19
IFNA14	other	hg19
IFNA17	other	hg19
IFNA1	other	hg19
INFAF	other	
LOC100356419	refseq	orycun2
LOC100356678	refseq	orycun2
LOC100357194	refseq	orycun2
LOC100356937	refseq	orycun2
IFNW7	other	
IFN-OMEGA-6	other	
IFN4	other	
LOC100155760	other	
LOC100861164	other	
LOC100156936	other	
LOC100357452	refseq	orycun2
IFN3	other	
IFN1	other	
IFNAH	other	
IFNA	other	
IFNAG	other	
IFNAA	other	
LOC100357708	refseq	orycun2
LOC100358223	refseq	orycun2
IFN-OMEGA1	other	
IFNB1	refseq	orycun2
HACD4	refseq	orycun2
FOCAD	refseq	orycun2
MIR491	other	
MIR491	other	hg19
MIR491	other	mm9
MLLT3	refseq	orycun2
LOC103347653	refseq	orycun2
SLC24A2	refseq	orycun2
LOC100359261	refseq	orycun2
LOC103347654	refseq	orycun2
RPS4	other	
LOC102605939	other	
ACER2	refseq	orycun2
LOC100338112	refseq	orycun2
RPS6	refseq	orycun2
DENND4C	refseq	orycun2
LOC103347667	refseq	orycun2
PLIN2	refseq	orycun2
HAUS6	refseq	orycun2
RRAGA	refseq	orycun2
SAXO1	refseq	orycun2
RSRC2.L	other	
ADAMTSL1	refseq	orycun2
LOC103347684	refseq	orycun2
AIP	other	hg19
AIP	other	
AIP	other	mm9
LOC108176469	refseq	orycun2
SH3GL2	refseq	orycun2
UBE2I.L	other	
HUS5	other	
SH3GL3.S	other	
SH3GL3.L	other	
CNTLN	refseq	orycun2
OSBPL11.L	other	
CG1513	other	
OBR-4	other	
LOC108178534	refseq	orycun2
GM12415	other	
BNC2	refseq	orycun2
BNC2-AS1	other	hg19
C1H9orf92	refseq	orycun2
CCDC171	refseq	orycun2
UQCRC2	other	
PSIP1	refseq	orycun2
SNAPC3	refseq	orycun2
LOC102135041	other	
UQCRC2	other	mm9
TTC39B	refseq	orycun2
FREM1	refseq	orycun2
CER1	refseq	orycun2
ZDHHC21	refseq	orycun2
LOC103347791	refseq	orycun2
NFIB	refseq	orycun2
LOC108176491	refseq	orycun2
GM5860	other	mm9
GM11264	other	mm9
LOC103347814	refseq	orycun2
LINC01235	other	hg19
MPDZ	refseq	orycun2
LURAP1L	refseq	orycun2
TYRP1	refseq	orycun2
LOC106111556	other	
MTHFD2P1	other	hg19
LOC100272563	other	
LOC100216752	other	
LOC100797215	other	
LOC100819231	other	
LOC542656	other	
NMDMC	other	
LOC100783652	other	
FTL1	other	mm9
FTLP10	other	hg19
SDHDB	other	
RFPL4AL1	other	hg19
RFPL4A	other	hg19
LOC108176513	refseq	orycun2
LOC106103348	other	
TIGD1	other	hg19
CACNA2D1-AS1	other	hg19
CYYR1-AS1	other	hg19
GM42303	other	
LOC103347841	refseq	orycun2
PTPRD	refseq	orycun2
GM20764	other	
RPL21.L	other	
AGOS_AEL254W	other	
RPL2101	other	
LOC100165759	other	
LOC106123273	other	
LOC105385223	other	
RPL-21	other	
PTPRDB	other	
TMEM261	refseq	orycun2
MIR8953	other	
SLC50A1.L	other	
GON7	other	hg19
GON7	other	
LOC103347846	refseq	orycun2
KDM4C	refseq	orycun2
SF3A2	other	
SF3A2	other	hg19
SF3A2	other	mm9
SF3A2.S	other	
SF3A2.L	other	
ZF(MATRIN)-2	other	
REPO-1	other	
LOC100862759	other	
LOC108176519	refseq	orycun2
TMEM14EP	other	hg19
GLDC	refseq	orycun2
UHRF2	refseq	orycun2
HMGB1.L	other	
HMGB1-PS2	other	
HMGB3B	other	
LOC100136765	other	
GM5176	other	mm9
TPD52L3	refseq	orycun2
WIPF2.S	other	
WIPF2B	other	
WIPF2.L	other	
IL33	refseq	orycun2
KLHL7-DT	other	hg19
ZNF621	other	hg19
COA1	other	hg19
MIR8900	other	
RANBP6	refseq	orycun2
KIAA2026	refseq	orycun2
MLANA	refseq	orycun2
LOC103347878	refseq	orycun2
ERMP1	refseq	orycun2
ERMP1.L	other	
RIC1	refseq	orycun2
PDCD1LG2	refseq	orycun2
CD274	refseq	orycun2
PLGRKT	refseq	orycun2
LOC100346250	refseq	orycun2
LOC100346509	refseq	orycun2
RLN1	refseq	orycun2
LOC100347029	refseq	orycun2
LOC108175413	refseq	orycun2
RIM2	other	
S2533	other	
LOC103348113	refseq	orycun2
LOC103347904	refseq	orycun2
LOC108178086	refseq	orycun2
INSL6	refseq	orycun2
LOC108176537	refseq	orycun2
JAK2	refseq	orycun2
JAK2.L	other	
RCL1	refseq	orycun2
LOC108176539	refseq	orycun2
AK3	refseq	orycun2
CDC37L1	refseq	orycun2
SPATA6L	refseq	orycun2
PLPP6	refseq	orycun2
SLC1A1	refseq	orycun2
LOC100348955	refseq	orycun2
SUG	other	
LOC108176565	refseq	orycun2
GLIS3	refseq	orycun2
LOC100359182	refseq	orycun2
RFX3-AS1	other	hg19
T10C21.1	other	
RPS11-BETA	other	
EMB1080	other	
RPS11B	other	
LOC542552	other	
RPS11A	other	
YBX1-PS3	other	
E130201H02RIK	other	mm9
YBX1.L	other	
CEY-1	other	
RFX3	refseq	orycun2
LOC100352221	refseq	orycun2
SUPT16	other	mm9
SUPT16H.S	other	
DRE4	other	
PUM3	refseq	orycun2
LOC108176574	refseq	orycun2
KCNV2	refseq	orycun2
VLDLR	refseq	orycun2
LOC108176575	refseq	orycun2
GLUT1	other	
SMARCA2	refseq	orycun2
SMARCA4A	other	
LOC100001344	other	
SMARCA4.S	other	
EMB1644	other	
LSM-4	other	
LOC100500134	other	
CG17768	other	
LOC100167880	other	
LOC100159060	other	
LOC100786834	other	
LOC100815676	other	
LOC100285873	other	
LOC103348158	refseq	orycun2
LOC103348385	refseq	orycun2
LOC103348167	refseq	orycun2
LOC103348179	refseq	orycun2
DEGS2.L	other	
MGC83232	other	
LOC107807159	other	
DMRT2	refseq	orycun2
DMRT3	refseq	orycun2
DMRT1	refseq	orycun2
KANK1	refseq	orycun2
DOCK8	refseq	orycun2
DOCK6	other	hg19
LOC100355256	refseq	orycun2
CBWD2	other	hg19
CBWD1	other	hg19
CBWD5	other	hg19
TIMM23	other	
TIMM23	other	hg19
TIMM23	other	mm9
CBWD1	other	
LOC100340294	refseq	orycun2
ATP5F1C	other	
LOC100305137	other	
ATP5F1C.L	other	
PGM5P4-AS1	other	hg19
PGM5-AS1	other	hg19
PGM5P3-AS1	other	hg19
PGM5	refseq	orycun2
LOC108176604	refseq	orycun2
TMEM252	refseq	orycun2
LOC103348213	refseq	orycun2
PIP5K1B	refseq	orycun2
FAM122A	refseq	orycun2
LOC108176609	refseq	orycun2
LOC108176612	refseq	orycun2
FXN	refseq	orycun2
TJP2	refseq	orycun2
TJP2B	other	
TJP2A	other	
FAM189A2	refseq	orycun2
COA8	other	mm9
COA8	other	
COA8	other	hg19
APBA1	refseq	orycun2
PTAR1	refseq	orycun2
PTAR1.L	other	
PTAR1.S	other	
LIS-1	other	
C1H9orf135	refseq	orycun2
WBP2	other	hg19
WBP2	other	
WBP2	other	mm9
C9ORF135	other	hg19
MAMDC2	refseq	orycun2
MAMDC2-AS1	other	hg19
LOC100159108	other	
SMC5	refseq	orycun2
KLF9	refseq	orycun2
LOC108176622	refseq	orycun2
TRPM3	refseq	orycun2
LOC108176627	refseq	orycun2
TRPM1B	other	
TRPM1A	other	
GM27151	other	
SUI3	other	
TMEM2	refseq	orycun2
ABHD17B	refseq	orycun2
C1H9orf85	refseq	orycun2
C9ORF85	other	hg19
C1H9orf57	refseq	orycun2
GDA	refseq	orycun2
LINC01504	other	hg19
ZFAND5	refseq	orycun2
LOC108178539	refseq	orycun2
LOC108178540	refseq	orycun2
TMC1	refseq	orycun2
LINC01474	other	hg19
ALDH1A1	refseq	orycun2
CYP1D1	other	
LOC100144895	other	
LOC101738358	other	
ANXA1	refseq	orycun2
ALDH2B6	other	
ANXA1.3	other	
LOC100164654	other	
MIR3654	other	hg19
GM3728	other	
LOC100345044	refseq	orycun2
LOC100337691	refseq	orycun2
RORB	refseq	orycun2
TRPM6	refseq	orycun2
LOC101927045	other	hg19
LOC103348271	refseq	orycun2
LOC100169216	other	
C9ORF40	other	hg19
C1H9orf40	refseq	orycun2
LOC108176644	refseq	orycun2
CARNMT1	refseq	orycun2
LOC108178542	refseq	orycun2
NMRK1	refseq	orycun2
OSTF1	refseq	orycun2
MIR3661	other	hg19
LOC105394537	other	
LOC100282834	other	
LOC100191189	other	
PP2A-4	other	
LOC100283820	other	
LOC100282302	other	
PP2A-3	other	
LOC100381284	other	
LOC107779504	other	
LOC107781246	other	
LET-92	other	
LOC107801901	other	
FYPP1	other	
LOC101249929	other	
AGOS_ADR099C	other	
PPH-4.2	other	
LOC107780051	other	
PPH21	other	
PPH22	other	
ECU04_0700	other	
PPH-6	other	
PPG1	other	
LOC101252803	other	
PP1-Y1	other	
PCSK5	refseq	orycun2
FURINA	other	
POMZP3	other	hg19
RFK	refseq	orycun2
GCNT1	refseq	orycun2
T5E8.290; T5E8_290	other	
ATP5PO	other	
PRUNE2	refseq	orycun2
LOC103348289	refseq	orycun2
PCA3	other	hg19
FOXB2	refseq	orycun2
LOC108176655	refseq	orycun2
VPS13A	refseq	orycun2
GNA11	other	hg19
TARDBPP3	other	hg19
GNA14	refseq	orycun2
GNAQ.L	other	
LOC100340719	refseq	orycun2
GNA15	other	
GNA11A	other	
AFG2	other	
SPBC56F2.07C	other	
CDC-48.3	other	
AGOS_AER065C	other	
CEP78	refseq	orycun2
PSAT1	refseq	orycun2
UBXN6	other	
UBXN6	other	mm9
MIR1187	other	mm9
LOC101927450	other	hg19
TRX1	other	
TRX2	other	
LOC100037235	other	
PDL-1	other	
PRBP	other	
LOC100159334	other	
TLE4	refseq	orycun2
TLE3B	other	
LINC01507	other	hg19
LOC403555	other	
LOC303448	other	
GM5177	other	mm9
GM12070	other	mm9
GM5069	other	mm9
GM5523	other	mm9
GAPDH-PS1	other	
GM8709	other	mm9
GM6981	other	mm9
LOC692786	other	
LOC106126706	other	
LOC106105235	other	
GAPDH2	other	
GAPDH1	other	
TDH3	other	
TDH2	other	
AGOS_AER031C	other	
GAPDH.L	other	
GAPDH.S	other	
LOC100781161	other	
GAPC1	other	
LOC107924606	other	
LOC107787153	other	
LOC102592694	other	
LOC103961743	other	
LOC542368	other	
LOC542290	other	
LOC106450737	other	
LOC106382350	other	
LOC101213074	other	
LOC103949900	other	
LOC107418185	other	
LOC100282981	other	
LOC100191900	other	
GAPC2	other	
LOC107957019	other	
LOC542718	other	
LOC542333	other	
LOC100037774	other	
LOC542367	other	
TDH1	other	
GPD3	other	
LOC100135863	other	
LOC100804853	other	
GPD-3	other	
GPD-4	other	
GPD-1	other	
MAI-1	other	
GPD-2	other	
CG9010	other	
LOC100169122	other	
LOC100807342	other	
LOC101846659	other	
GM10364	other	mm9
3000002C10RIK	other	mm9
GM6498	other	mm9
LOC107845282	other	
K10B3.12	other	
4930448K20RIK	other	mm9
ECU07_0800	other	
K10B3.13	other	
GAPA-2	other	
LOC100806482	other	
LOC732571	other	
LOC103936989	other	
C4ORF46	other	hg19
TLE3A	other	
TLE1	other	mm9
LOC100354911	refseq	orycun2
TLE1	other	
LOC100355171	refseq	orycun2
RPL7A	other	
RPL7A	other	hg19
LOC107984035	other	hg19
LOC101927502	other	hg19
LOC103348430	refseq	orycun2
SPATA31D5P	other	hg19
LOC100355671	refseq	orycun2
RPS6A	other	
RPS6B	other	
AGOS_AGR197C	other	
LOC103348322	refseq	orycun2
ZNF585B	other	hg19
RASEF	refseq	orycun2
ZNF670	other	hg19
ZNF595	other	hg19
ZNF813	other	hg19
ZNF320	other	hg19
LOC103348327	refseq	orycun2
LOC103348331	refseq	orycun2
LOC524650	other	
ZG57	other	
GM10033	other	mm9
ZGC:173517	other	
ZNF665	other	
ZNF534	other	hg19
ZGC:173816	other	
ZGC:174288	other	
ZNF486	other	hg19
ZNF182	other	
LOC641746	other	hg19
MFSD14B	refseq	orycun2
MFSD14C	other	hg19
ZNF484	refseq	orycun2
AGOS_ACL010C	other	
IARS	refseq	orycun2
IARS1	other	
MIR3651	other	hg19
SNORA84	other	hg19
LOC103348335	refseq	orycun2
NOL8	refseq	orycun2
CENPP	refseq	orycun2
OGN	refseq	orycun2
OMD	refseq	orycun2
ASPN	refseq	orycun2
ECM2	refseq	orycun2
IPPK	refseq	orycun2
BICD2	refseq	orycun2
LOC103348436	refseq	orycun2
WNK2	refseq	orycun2
NINJ1	refseq	orycun2
CARD19	refseq	orycun2
SUSD3	refseq	orycun2
FGD3	refseq	orycun2
